processo_enquadramento,fornecedor,cnpj_cpf,contratacao_objeto,fundamento_legal,vigencia_inicio,vigencia_fim,contrato_valor_txt,contrato_saldo_bruto,situacao,contrato_currency,contrato_amount
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Vareta de solda,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",04/01/2018,12/03/2018,"R$ 13.199,34","R$ 13.199,34",Ativo,R$,13199.34
Dispensa,KARTEM COMERCIAL LTDA - EPP,00.231.221/0001-70,Coletor de escape,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/03/2018,"R$ 13.800,00","R$ 13.800,00",Ativo,R$,13800.00
Dispensa,POLO COMERCIO E SERVICOS LTDA,01.113.887/0001-97,Bronzina da biela (Casquilho),"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,19/03/2018,"R$ 9.555,22","R$ 9.555,22",Cancelado,R$,9555.22
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Vareta de solda,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 449,91","R$ 449,91",Ativo,R$,449.91
Dispensa,BR COMPRESSORES SERVICE LTDA,05.808.502/0001-67,Jogo de juntas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,11/04/2018,"R$ 40.899,94","R$ 40.899,94",Ativo,R$,40899.94
Dispensa,INNOVA - INDUSTRIA E COMERCIO DE,07.445.537/0001-04,Anel de vedação seção  O,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,15/02/2018,"R$ 36,03","R$ -3,96",Concluído,R$,36.03
Dispensa,LUCAS PIRES PRODUTOS QUIMICOS LTDA,08.248.965/0001-00,Água destilada,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,16/01/2018,"R$ 440,77","R$ 0,00",Concluído,R$,440.77
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Rebite de repuxo (pop):Arruela de pressão regular,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,15/03/2018,"R$ 322,65","R$ -19,36",Concluído,R$,322.65
Dispensa,RSC COMERCIO DE PECAS PARA CAMINHOE,05.849.430/0002-87,FILTROS CAMINHÃO,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,23/01/2018,"R$ 284,71","R$ 0,00",Concluído,R$,284.71
Dispensa,RSC COMERCIO DE PECAS PARA CAMINHOE,05.849.430/0002-87,FILTROS CAMINHÃO,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,23/01/2018,"R$ 314,77","R$ 0,00",Concluído,R$,314.77
Dispensa,TEADIT JUNTAS LTDA,62.948.658/0001-87,"Junta espiral. AI-347 1070x 1012x 4,4mm","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,25/01/2018,"R$ 3.840,53","R$ 773,47",Concluído,R$,3840.53
Dispensa,L. M. INDUSTRIA E COMERCIO DE,03.218.065/0001-04,"Junta espiral. AI-347 1554x 1496x 4,44mm","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,10/02/2018,"R$ 4.754,88","R$ 4.754,88",Cancelado,R$,4754.88
Dispensa,SURCO TECNOLOGIA INDUSTRIAL LTDA,27.825.314/0001-80,Corpo intermediario:Corpo mandril:Anel de vedação,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 36.748,23","R$ 36.748,23",Ativo,R$,36748.23
Dispensa,A.R.S. - INDUSTRIA E COMERCIO DE,57.599.581/0001-47,Barra e arruela,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,10/01/2018,"R$ 1.073,49","R$ 0,00",Concluído,R$,1073.49
Dispensa,MALAVAZI VEDACOES INDUSTRIAIS LTDA,67.945.139/0001-89,Labirinto de alta performance / Selo mecanico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,09/04/2018,"R$ 8.274,48","R$ 0,00",Concluído,R$,8274.48
Dispensa,BR COMPRESSORES SERVICE LTDA,05.808.502/0001-67,Elemento específico:Elemento filtrante:Tubo montado,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,11/04/2018,"R$ 33.190,99","R$ 8.779,56",Ativo,R$,33190.99
Dispensa,TEADIT JUNTAS LTDA,62.948.658/0001-87,Junta anel oval R-20-1500# AI-316L Junta circ. p/flange FR e,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,24/02/2018,"R$ 478,19","R$ 478,19",Ativo,R$,478.19
Dispensa,MAXIFUSO COMERCIO DE PARAFUSOS E,01.273.995/0001-27,Porca sext latão -5 3/8 -16BSW,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,15/01/2018,"R$ 120,11","R$ 11,11",Concluído,R$,120.11
Dispensa,ZILMER INELTEC CONSTRUCOES,60.618.428/0001-24,Transformador de potencial,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 7.378,24","R$ 7.378,24",Ativo,R$,7378.24
Dispensa,SIMOES & BARROS COMERCIO DE,04.576.422/0001-60,Correia p/motor KUBOTA,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/06/2018,"R$ 939,99","R$ 939,99",Ativo,R$,939.99
Dispensa,LABSYNTH PRODUTOS PARA LABORATORIOS,51.462.471/0001-52,n-Hexadecano fr c/ 250ml,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,04/02/2018,"R$ 755,11","R$ -55,25",Concluído,R$,755.11
Dispensa,MACAETEC INSTRUMENTOS DE MEDICAO,10.697.666/0001-02,Multímetro digital,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,19/02/2018,"R$ 2.415,60","R$ 223,45",Concluído,R$,2415.60
Dispensa,DARVA OFFSHORE COMERCIO DE MAQUINAS,12.843.366/0001-01,Lençol plástico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,08/06/2018,"R$ 750,02","R$ 750,02",Ativo,R$,750.02
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Alicate de pressão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,26/03/2018,"R$ 264,02","R$ 264,02",Ativo,R$,264.02
Dispensa,META OFFSHORE EIRELI - ME,28.606.133/0001-25,Graxa lubrificante,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,23/04/2018,"R$ 3.250,03","R$ 3.250,03",Ativo,R$,3250.03
Dispensa,CRISTINA E SOUZA FERRAGENS LTDA -,06.305.090/0001-05,esmalte laranja,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,02/03/2018,"R$ 1.320,00","R$ 0,00",Concluído,R$,1320.00
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Parafuso máquina,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 1.581,18","R$ 1.581,18",Ativo,R$,1581.18
Dispensa,ROMA COMERCIO DE METAIS EM GERAL,61.405.627/0001-17,Perfil estrutural ASTM A6(M),"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/02/2018,"R$ 2.683,99","R$ 418,77",Concluído,R$,2683.99
Dispensa,PNZ COMERCIAL OFFSHORE LTDA - ME,22.129.082/0001-01,Contator de baixa tensão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,02/04/2018,"R$ 2.740,00","R$ 0,00",Concluído,R$,2740.00
Dispensa,METINOX 2004 COMERCIAL LTDA EPP,01.681.539/0001-16,Barra redonda,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,20/02/2018,"R$ 1.920,00","R$ -14,40",Concluído,R$,1920.00
Dispensa,FAMABRAS INDUSTRIA DE APARELHOS DE,60.949.526/0001-44,Manômetro,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",22/01/2018,26/03/2018,"R$ 1.988,71","R$ 1.988,71",Ativo,R$,1988.71
Dispensa,RTS INDUSTRIA E COMERCIO DE,59.420.349/0001-25,Válvula de retenção,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,25/06/2018,"R$ 8.787,28","R$ 8.787,28",Ativo,R$,8787.28
Dispensa,PWR MISSION INDUSTRIA MECANICA S/A,42.409.201/0001-97,Válvula de retenção,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,21/05/2018,"R$ 19.107,00","R$ 19.107,00",Ativo,R$,19107.00
Dispensa,COMERCIAL VICHIETTI EIRELI - ME,26.292.303/0001-19,Contator de baixa tensão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 828,02","R$ 828,02",Ativo,R$,828.02
Dispensa,SUD LAB INSTRUMENTOS CIENTIFICOS,20.184.606/0001-31,Eletrodo combinado de pH,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,16/04/2018,"R$ 4.050,01","R$ 4.050,01",Ativo,R$,4050.01
Dispensa,FLUXO SOLUÇÕES INTEGRADAS LTDA,34.213.025/0006-08,Kit para reparo,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,16/04/2018,"R$ 23.556,25","R$ 23.556,25",Ativo,R$,23556.25
Dispensa,POLO COMERCIO E SERVICOS LTDA,01.113.887/0001-97,Filtro p/ar condicionado AIRMARINE,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,07/03/2018,"R$ 17.909,33","R$ 17.909,33",Ativo,R$,17909.33
Dispensa,METINOX 2004 COMERCIAL LTDA EPP,01.681.539/0001-16,Placa de PTFE,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/03/2018,"R$ 23.499,95","R$ 23.499,95",Ativo,R$,23499.95
Dispensa,"AY MANUTENCAO INDUSTRIAL,",23.045.430/0001-25,Jogo de limas,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,21/03/2018,"R$ 326,40","R$ 4,09",Concluído,R$,326.40
Dispensa,CONSTRUMAX COMERCIO E SERVIÇOS,26.623.500/0001-73,Pincel para pintura,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,27/03/2018,"R$ 70,19","R$ 70,19",Ativo,R$,70.19
Dispensa,G M R EQUIPAMENTOS ELETRICOS LTDA,42.270.058/0001-03,Fechadura mecânica,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",06/01/2018,02/04/2018,"R$ 3.211,25","R$ 237,63",Concluído,R$,3211.25
Dispensa,MERCOBRONZE METAIS EIRELI,04.625.461/0001-00,Tarugo maciço.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,28/02/2018,"R$ 1.021,79","R$ -137,07",Concluído,R$,1021.79
Dispensa,H & H COMERCIAL OFFSHORE LTDA ME,24.281.528/0001-44,Estilete 22 mm,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,12/03/2018,"R$ 599,89","R$ 599,89",Cancelado,R$,599.89
Dispensa,FELIPE ASSUMPCAO VENTURA,26.993.325/0001-06,Reator p/lâmpada de descarga,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,15/02/2018,"R$ 3.420,00","R$ 3.420,00",Ativo,R$,3420.00
Dispensa,SUDPAR - SUDESTE PARAFUSOS E,35.954.452/0001-97,Jogo de chave allen,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,22/03/2018,"R$ 60,00","R$ -4,80",Concluído,R$,60.00
Dispensa,P S PARAFUSOS E SEGURANCA LTDA,09.076.777/0001-04,Arruela lisa:Parafuso máquina,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,30/01/2018,"R$ 466,29","R$ 0,00",Concluído,R$,466.29
Dispensa,FELIPE ASSUMPCAO VENTURA,26.993.325/0001-06,Suporte para torno mecânico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/01/2018,"R$ 2.349,97","R$ 217,37",Concluído,R$,2349.97
Dispensa,SPX FLOW TECHNOLOGY DO BRASIL,59.105.833/0001-60,Anel estriado,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,02/05/2018,"R$ 887,69","R$ 887,69",Ativo,R$,887.69
Dispensa,FLUXO SOLUÇÕES INTEGRADAS LTDA,34.213.025/0006-08,PARTES DE VÁLVULA DE CONTROLE,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,30/07/2018,"R$ 14.969,12","R$ 14.969,12",Ativo,R$,14969.12
Dispensa,WIR COMPRESSORES ALTERNATIVOS LTDA,05.197.146/0001-92,TAMPA DA VALVULA,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,21/03/2018,"R$ 4.076,08","R$ 4.076,08",Ativo,R$,4076.08
Dispensa,CANCELINHA MADEIRAS LTDA - ME,03.521.124/0001-00,Compensado naval cedrinho 20mm e Porta predial lisa angular(,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,07/02/2018,"R$ 537,70","R$ 0,00",Concluído,R$,537.70
Dispensa,M V P SANTOS COMERCIO E SERVICOS,25.172.827/0001-03,Trinco zamak 40mm,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,06/04/2018,"R$ 70,01","R$ 70,01",Ativo,R$,70.01
Dispensa,"AY MANUTENCAO INDUSTRIAL,",23.045.430/0001-25,Suporte para torno mecânico,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,21/03/2018,"R$ 1.360,88","R$ 17,01",Concluído,R$,1360.88
Convite,CARL ZEISS DO BRASIL LTDA,33.131.079/0001-49,MICROSCÓPIO ÓTICO,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",02/02/2018,05/06/2018,"R$ 678.120,39","R$ 678.120,39",Ativo,R$,678120.39
Convite,JEOL BRASIL INSTRUMENTOS,11.084.999/0001-10,MICROSCÓPIO ELETRÔNICO VARREDURA,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",02/02/2018,05/07/2018,"R$ 750.656,15","R$ 750.656,15",Ativo,R$,750656.15
Dispensa,GASCO COMERCIO DE COMPRESSORES LTDA,66.814.542/0001-06,Objetos deste Pedido de Compras: 01- Anel de vedação seção,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,13/03/2018,"R$ 619,99","R$ 555,25",Ativo,R$,619.99
Dispensa,SAYBOLT-CONCREMAT INSPECOES,01.178.071/0002-22,Análise de metanol em glicerina.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,28/02/2018,"R$ 12.730,37","R$ 0,00",Concluído,R$,12730.37
Dispensa,FELIPE ASSUMPCAO VENTURA,26.993.325/0001-06,Barbante de algodão natural,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/01/2018,"R$ 144,05","R$ 13,33",Concluído,R$,144.05
Dispensa,THEVAL PRODUTOS INDUSTRIAIS EIRELI,21.677.008/0001-67,"Rolamento esf. ctt.ang. 15x 35x 15,9mm Rolamento esf. ctt.an","Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,30/01/2018,"R$ 882,00","R$ 882,00",Ativo,R$,882.00
Dispensa,FUNDAÇÃO ABM DE PESQUISA E,05.413.531/0001-20,Participação no curso Basic Life Suport,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,12/01/2018,"R$ 360,00","R$ 360,00",Concluído,R$,360.00
Dispensa,FELIPE ASSUMPCAO VENTURA,26.993.325/0001-06,Apoio para pés médio,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,26/01/2018,"R$ 160,00","R$ 160,00",Cancelado,R$,160.00
Dispensa,IMPORTADORA DE ROLAMENTOS RADIAL,62.014.030/0001-04,ROLAMENTOS SEM CONTRATO GLOBAL #13,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,19/01/2018,"R$ 10.846,77","R$ -1.735,48",Concluído,R$,10846.77
Dispensa,DACON COMERCIAL LTDA,02.404.672/0001-98,Flange cego,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,25/02/2018,"R$ 3.063,42","R$ 3.063,42",Ativo,R$,3063.42
Dispensa,FILTREX INDUSTRIA E COMERCIO DE,29.794.054/0001-58,Compra de elemento filtrante para compressor Quincy.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",10/01/2018,23/02/2018,"R$ 253,99","R$ 253,99",Ativo,R$,253.99
Dispensa,YGB INDUSTRIA E COMERCIO DE,44.196.954/0001-97,Diafragma p/válvula controle YGB.,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",11/01/2018,07/02/2018,"R$ 1.355,92","R$ 1.355,92",Ativo,R$,1355.92
Dispensa,VEDERE INDUSTRIA OTICA LTDA-EPP,02.926.649/0001-63,óculos de segurança de grau.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",11/01/2018,20/02/2018,"R$ 1.058,77","R$ -63,52",Concluído,R$,1058.77
Dispensa,NOVA PETRENE CONSULTORIA IMPORTACAO,02.291.491/0001-00,Oleo padrão,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",11/01/2018,30/03/2018,"R$ 107.141,59","R$ 107.141,59",Ativo,R$,107141.59
Dispensa,LIEBHERR BRASIL GUINDASTES E,44.021.095/0001-03,SOBRESSALENTE DE GUINDASTE,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",12/01/2018,26/02/2018,"R$ 11.372,45","R$ 8.073,11",Ativo,R$,11372.45
Dispensa,COMERCIAL VICHIETTI EIRELI - ME,26.292.303/0001-19,BIBICLETA TRICICLO,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,28/03/2018,"R$ 7.150,03","R$ 7.150,03",Ativo,R$,7150.03
Dispensa,SENSE ELETRONICA LTDA,47.922.042/0001-43,SENSOR DE PROXIMIDADE,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,05/03/2018,"R$ 3.074,39","R$ 3.074,39",Ativo,R$,3074.39
Dispensa,JERONYMO DIXNEUF PECAS E SERVICOS,08.378.366/0001-00,Orçamento para reparo em motor MWM linha Diesel.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,17/01/2018,"R$ 385,67","R$ 385,67",Concluído,R$,385.67
Dispensa,"INGERSOLL-RAND INDUSTRIA, COMERCIO",01.610.517/0005-99,Compressor industrial,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",12/01/2018,18/06/2018,"R$ 18.107,16","R$ 18.107,16",Ativo,R$,18107.16
Dispensa,AMERICAS COPACABANA HOTEL LTDA,22.465.567/0001-76,HOSPEDAGEM NO PAÍS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",01/01/2018,02/01/2018,"R$ 1.650,00","R$ 0,00",Concluído,R$,1650.00
Dispensa,PETROBRAS DISTRIBUIDORA S A,34.274.233/0059-10,Oléo lubrificante,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",15/01/2018,28/02/2018,"R$ 2.842,07","R$ 0,00",Concluído,R$,2842.07
Dispensa,VWM COMERCIO DE PNEUS LTDA. EPP,44.968.956/0001-57,PNEUS 7.00x12- 14 LONAS.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,15/02/2018,"R$ 3.523,60","R$ -435,50",Concluído,R$,3523.60
Dispensa,SNA ENGENHARIA LTDA,00.891.142/0001-96,Instalação de dutos de exaustão de ar e novas tampas nos ger,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,28/02/2018,"R$ 44.820,01","R$ 44.820,01",Concluído,R$,44820.01
Dispensa,PLCFOR ELETRONICA COMERCIAL,23.528.347/0001-07,Serviço de manutenção em Inversores de Frequência do Sistema,"Dec 2745,2.1, B - Emergência, urgência em situação que possa",08/01/2018,27/01/2018,"R$ 17.000,00","R$ 1.572,50",Concluído,R$,17000.00
Dispensa,PERSONAL COMERCIO E SERVICOS LTDA -,00.472.409/0001-00,Manutenção em equipamento,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,10/01/2018,"R$ 380,00","R$ 380,00",Cancelado,R$,380.00
Dispensa,FC MONTAGEM E INSTALACOES,14.797.557/0001-00,SERVIÇOS DE FURAÇÃO DE CHAPA DE 1/8,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,07/02/2018,"R$ 1.000,00","R$ 92,50",Concluído,R$,1000.00
Inexigibilidade,PETROLEO BRASILEIRO S.A. - LULA,33.000.167/0042-80,VÁLVULA DE SEGURANÇA DHSV,"Dec 2745, 2.3, CAPUT - Inviabilidade fática ou jurídica de c",09/01/2018,29/01/2018,"R$ 1.404.750,13","R$ 1.404.750,13",Ativo,R$,1404750.13
Dispensa,KLUBER LUBRICATION LUBRIFICANTES,43.054.261/0001-05,Óleo lubrificante e Graxa.,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",09/01/2018,05/03/2018,"R$ 36.341,68","R$ 33.814,62",Ativo,R$,36341.68
Dispensa,ROULD INDUSTRIA COMERCIO E,00.689.169/0001-09,Serviço calandragem p/ otimização sistema vapor e condensado,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",15/01/2018,19/01/2018,"R$ 3.900,00","R$ 360,75",Concluído,R$,3900.00
Dispensa,JP SMART VENDING OPERADORA DE,06.281.829/0001-96,Aquisição de insumos para máquinas de bebidas quentes.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,18/01/2018,"R$ 977,05","R$ 0,00",Concluído,R$,977.05
Dispensa,EMERSON PROCESS MANAGEMENT LTDA,43.213.776/0001-00,Medidor O2 disolv. luminesc. 0a20ppm,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,06/03/2018,"R$ 8.723,03","R$ 8.723,03",Cancelado,R$,8723.03
Dispensa,SERMATER ELETRO ELETRONICA LTDA -,86.811.551/0001-50,Tampão macho,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,11/03/2018,"R$ 2.597,95","R$ 2.597,95",Ativo,R$,2597.95
Dispensa,FMO DISTRIBUIDORA LTDA,12.621.910/0001-70,10.494.046 Copo descartável emb.c/100unid.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,11/01/2018,"R$ 33.209,62","R$ 0,00",Concluído,R$,33209.62
Dispensa,CTEE - CENTRO DE TREINAMENTO E,06.987.364/0001-93,Assinatura de base de dados.,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",09/01/2018,09/02/2018,"R$ 15.900,00","R$ 0,00",Concluído,R$,15900.00
Dispensa,GLOBOEX DISTRIBUICAO LTDA,10.468.747/0001-22,Tomada elétrica industrial,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,07/02/2018,"R$ 15.122,87","R$ 0,00",Concluído,R$,15122.87
Dispensa,PARKER HANNIFIN INDUSTRIA E,54.823.455/0029-37,Válvula esfera,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,23/04/2018,"R$ 1.992,58","R$ 1.992,58",Ativo,R$,1992.58
Dispensa,INTER-BRAS EQUIPAMENTOS TECNICOS E,10.750.286/0001-86,Servidor de computadores,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,11/06/2018,"R$ 27.500,00","R$ 27.500,00",Ativo,R$,27500.00
Dispensa,CUMMINS VENDAS E SERVICOS DE,61.838.884/0005-76,Bujão PARTES:Anel do pistão:Mangueira:Parafuso específico,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,23/04/2018,"R$ 9.601,11","R$ 9.601,11",Ativo,R$,9601.11
Dispensa,SULZER BRASIL S A,33.574.575/0019-04,Pino cilíndrico:Porca sextavada:Tampa do mancal,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,07/03/2018,"R$ 3.412,75","R$ 3.412,75",Ativo,R$,3412.75
Dispensa,PETROLANE SERVICOS EM PETROLEO LTDA,40.216.020/0001-19,Kit de reparo,"Dispensa, Dec. 2745, 2.4, CAPUT - Contratação Direta",05/01/2018,21/05/2018,"R$ 15.616,11","R$ 15.616,11",Ativo,R$,15616.11
Dispensa,DARVA OFFSHORE COMERCIO DE MAQUINAS,12.843.366/0001-01,Mangueira,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,11/06/2018,"R$ 1.130,01","R$ 1.130,01",Ativo,R$,1130.01
Dispensa,ENDRESS + HAUSER CONTROLE E,49.423.619/0001-06,AQUISIÇÃO PORTA ELETRODO PARA ESTOQUE. MATERIAL SETOR DE INS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,23/02/2018,"R$ 11.415,05","R$ 1.470,25",Concluído,R$,11415.05
Dispensa,TEADIT JUNTAS LTDA,62.948.658/0001-87,JUNTAS,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",16/01/2018,12/02/2018,"R$ 4.359,91","R$ 1.115,45",Concluído,R$,4359.91
Dispensa,SULFAL QUIMICA LTDA,16.631.103/0001-90,Alcool,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,25/01/2018,"R$ 1.440,00","R$ 0,00",Concluído,R$,1440.00
Dispensa,TORMENE AMERICANA DO BRASIL,07.919.815/0001-18,tampões para pig para rnest,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",08/01/2018,04/04/2018,"R$ 83.298,54","R$ 83.298,54",Ativo,R$,83298.54
Convite,PYTHON ENGENHARIA E EQUIPAMENTOS,47.681.838/0001-51,11.837.884 Feixe tubular p/permutador,"3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao obj",10/01/2018,18/05/2018,"R$ 763.838,96","R$ 763.838,96",Ativo,R$,763838.96
Dispensa,ALTOMAR EQUIPAMENTOS LTDA,12.671.872/0001-60,Interface homem-máquina,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,20/02/2018,"R$ 4.761,21","R$ 4.761,21",Ativo,R$,4761.21
Dispensa,TDL COMERCIO SERVIÇOS E MANUTENÇÃO,26.766.892/0001-20,Bateria de partida para veículos,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,29/01/2018,"R$ 2.600,02","R$ 2.600,02",Ativo,R$,2600.02
Dispensa,ROKELS INDUSTRIA E COMERCIO DE,00.983.535/0001-20,MODULO ESPECIFICO,"Dec 2745, 2.4, CAPUT - Dispensa de licitação por valor confo",05/01/2018,10/05/2018,"R$ 6.320,00","R$ 6.320,00",Ativo,R$,6320.00
